order,family,genus,species,species_link0
Acanthuriformes,Acanthuridae,Acanthurus,leucosternon,/species/detail.html?genus=Acanthurus&species=leucosternon
Acanthuriformes,Acanthuridae,Acanthurus,lineatus,/species/detail.html?genus=Acanthurus&species=lineatus
Acanthuriformes,Acanthuridae,Ctenochaetus,tominiensis,/species/detail.html?genus=Ctenochaetus&species=tominiensis
Acanthuriformes,Acanthuridae,Naso,lopezi,/species/detail.html?genus=Naso&species=lopezi
Acanthuriformes,Acanthuridae,Paracanthurus,hepatus,/species/detail.html?genus=Paracanthurus&species=hepatus
Acanthuriformes,Acanthuridae,Prionurus,biafraensis,/species/detail.html?genus=Prionurus&species=biafraensis
Acanthuriformes,Acanthuridae,Prionurus,laticlavius,/species/detail.html?genus=Prionurus&species=laticlavius
Acanthuriformes,Acanthuridae,Zebrasoma,flavescens,/species/detail.html?genus=Zebrasoma&species=flavescens
Acanthuriformes,Luvaridae,Luvarus,imperialis,/species/detail.html?genus=Luvarus&species=imperialis
Acanthuriformes,Zanclidae,Zanclus,cornutus,/species/detail.html?genus=Zanclus&species=cornutus
Acipenseriformes,Acipenseridae,Acipenser,baerii,/species/detail.html?genus=Acipenser&species=baerii
Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,/species/detail.html?genus=Acipenser&species=brevirostrum
Acipenseriformes,Acipenseridae,Acipenser,dabryanus,/species/detail.html?genus=Acipenser&species=dabryanus
Acipenseriformes,Acipenseridae,Acipenser,dabryanus x Acipenser schrenckii,/species/detail.html?genus=Acipenser&species=dabryanus%20x%20Acipenser%20schrenckii
Acipenseriformes,Acipenseridae,Acipenser,fulvescens,/species/detail.html?genus=Acipenser&species=fulvescens
Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,/species/detail.html?genus=Acipenser&species=gueldenstaedtii
Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii x Acipenser baerii,/species/detail.html?genus=Acipenser&species=gueldenstaedtii%20x%20Acipenser%20baerii
Acipenseriformes,Acipenseridae,Acipenser,medirostris,/species/detail.html?genus=Acipenser&species=medirostris
Acipenseriformes,Acipenseridae,Acipenser,mikadoi,/species/detail.html?genus=Acipenser&species=mikadoi
Acipenseriformes,Acipenseridae,Acipenser,nudiventris,/species/detail.html?genus=Acipenser&species=nudiventris
Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,/species/detail.html?genus=Acipenser&species=oxyrinchus
Acipenseriformes,Acipenseridae,Acipenser,ruthenus,/species/detail.html?genus=Acipenser&species=ruthenus
Acipenseriformes,Acipenseridae,Acipenser,schrenckii,/species/detail.html?genus=Acipenser&species=schrenckii
Acipenseriformes,Acipenseridae,Acipenser,schrenckii x Huso dauricus,/species/detail.html?genus=Acipenser&species=schrenckii%20x%20Huso%20dauricus
Acipenseriformes,Acipenseridae,Acipenser,sinensis,/species/detail.html?genus=Acipenser&species=sinensis
Acipenseriformes,Acipenseridae,Acipenser,stellatus,/species/detail.html?genus=Acipenser&species=stellatus
Acipenseriformes,Acipenseridae,Acipenser,sturio,/species/detail.html?genus=Acipenser&species=sturio
Acipenseriformes,Acipenseridae,Acipenser,transmontanus,/species/detail.html?genus=Acipenser&species=transmontanus
Acipenseriformes,Acipenseridae,Huso,dauricus,/species/detail.html?genus=Huso&species=dauricus
Acipenseriformes,Acipenseridae,Huso,dauricus x Acipenser schrenckii,/species/detail.html?genus=Huso&species=dauricus%20x%20Acipenser%20schrenckii
Acipenseriformes,Acipenseridae,Huso,huso,/species/detail.html?genus=Huso&species=huso
Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,kaufmanni,/species/detail.html?genus=Pseudoscaphirhynchus&species=kaufmanni
Acipenseriformes,Acipenseridae,Scaphirhynchus,albus,/species/detail.html?genus=Scaphirhynchus&species=albus
Acipenseriformes,Acipenseridae,Scaphirhynchus,albus x Scaphirhynchus platorynchus,/species/detail.html?genus=Scaphirhynchus&species=albus%20x%20Scaphirhynchus%20platorynchus
Acipenseriformes,Acipenseridae,Scaphirhynchus,cf. albus,/species/detail.html?genus=Scaphirhynchus&species=cf.%20albus
Acipenseriformes,Acipenseridae,Scaphirhynchus,platorynchus,/species/detail.html?genus=Scaphirhynchus&species=platorynchus
Acipenseriformes,Acipenseridae,Scaphirhynchus,suttkusi,/species/detail.html?genus=Scaphirhynchus&species=suttkusi
Acipenseriformes,Polyodontidae,Polyodon,spathula,/species/detail.html?genus=Polyodon&species=spathula
Acipenseriformes,Polyodontidae,Psephurus,gladius,/species/detail.html?genus=Psephurus&species=gladius
Albuliformes,Albulidae,Pterothrissus,gissu,/species/detail.html?genus=Pterothrissus&species=gissu
Alepocephaliformes,Alepocephalidae,Alepocephalus,agassizii,/species/detail.html?genus=Alepocephalus&species=agassizii
Alepocephaliformes,Alepocephalidae,Alepocephalus,australis,/species/detail.html?genus=Alepocephalus&species=australis
Alepocephaliformes,Alepocephalidae,Alepocephalus,bairdii,/species/detail.html?genus=Alepocephalus&species=bairdii
Alepocephaliformes,Alepocephalidae,Alepocephalus,bicolor,/species/detail.html?genus=Alepocephalus&species=bicolor
Alepocephaliformes,Alepocephalidae,Alepocephalus,productus,/species/detail.html?genus=Alepocephalus&species=productus
Alepocephaliformes,Alepocephalidae,Alepocephalus,tenebrosus,/species/detail.html?genus=Alepocephalus&species=tenebrosus
Alepocephaliformes,Alepocephalidae,Alepocephalus,umbriceps,/species/detail.html?genus=Alepocephalus&species=umbriceps
Alepocephaliformes,Alepocephalidae,Bajacalifornia,megalops,/species/detail.html?genus=Bajacalifornia&species=megalops
Alepocephaliformes,Alepocephalidae,Bathyprion,danae,/species/detail.html?genus=Bathyprion&species=danae
Alepocephaliformes,Alepocephalidae,Bathytroctes,breviceps,/species/detail.html?genus=Bathytroctes&species=breviceps
Alepocephaliformes,Alepocephalidae,Bathytroctes,macrolepis,/species/detail.html?genus=Bathytroctes&species=macrolepis
Alepocephaliformes,Alepocephalidae,Bathytroctes,michaelsarsi,/species/detail.html?genus=Bathytroctes&species=michaelsarsi
Alepocephaliformes,Alepocephalidae,Bathytroctes,microlepis,/species/detail.html?genus=Bathytroctes&species=microlepis
Alepocephaliformes,Alepocephalidae,Conocara,macropterum,/species/detail.html?genus=Conocara&species=macropterum
Alepocephaliformes,Alepocephalidae,Conocara,murrayi,/species/detail.html?genus=Conocara&species=murrayi
Alepocephaliformes,Alepocephalidae,Herwigia,kreffti,/species/detail.html?genus=Herwigia&species=kreffti
Alepocephaliformes,Alepocephalidae,Leptoderma,lubricum,/species/detail.html?genus=Leptoderma&species=lubricum
Alepocephaliformes,Alepocephalidae,Leptoderma,macrophthalmum,/species/detail.html?genus=Leptoderma&species=macrophthalmum
Alepocephaliformes,Alepocephalidae,Leptoderma,retropinna,/species/detail.html?genus=Leptoderma&species=retropinna
Alepocephaliformes,Alepocephalidae,Narcetes,erimelas,/species/detail.html?genus=Narcetes&species=erimelas
Alepocephaliformes,Alepocephalidae,Narcetes,stomias,/species/detail.html?genus=Narcetes&species=stomias
Alepocephaliformes,Alepocephalidae,Talismania,bifurcata,/species/detail.html?genus=Talismania&species=bifurcata
Alepocephaliformes,Leptochilichthyidae,Leptochilichthys,agassizii,/species/detail.html?genus=Leptochilichthys&species=agassizii
Alepocephaliformes,Platytroctidae,Maulisia,mauli,/species/detail.html?genus=Maulisia&species=mauli
Alepocephaliformes,Platytroctidae,Normichthys,operosus,/species/detail.html?genus=Normichthys&species=operosus
Alepocephaliformes,Platytroctidae,Platytroctes,apus,/species/detail.html?genus=Platytroctes&species=apus
Alepocephaliformes,Platytroctidae,Sagamichthys,abei,/species/detail.html?genus=Sagamichthys&species=abei
Amiiformes,Amiidae,Amia,calva,/species/detail.html?genus=Amia&species=calva
Anabantiformes,Anabantidae,Anabas,testudineus,/species/detail.html?genus=Anabas&species=testudineus
Anabantiformes,Badidae,Dario,dario,/species/detail.html?genus=Dario&species=dario
Anabantiformes,Channidae,Channa,argus,/species/detail.html?genus=Channa&species=argus
Anabantiformes,Channidae,Channa,argus x Channa maculata,/species/detail.html?genus=Channa&species=argus%20x%20Channa%20maculata
Anabantiformes,Channidae,Channa,asiatica,/species/detail.html?genus=Channa&species=asiatica
Anabantiformes,Channidae,Channa,gachua,/species/detail.html?genus=Channa&species=gachua
Anabantiformes,Channidae,Channa,maculata,/species/detail.html?genus=Channa&species=maculata
Anabantiformes,Channidae,Channa,marulius,/species/detail.html?genus=Channa&species=marulius
Anabantiformes,Channidae,Channa,micropeltes,/species/detail.html?genus=Channa&species=micropeltes
Anabantiformes,Channidae,Channa,punctata,/species/detail.html?genus=Channa&species=punctata
Anabantiformes,Channidae,Channa,striata,/species/detail.html?genus=Channa&species=striata
Anabantiformes,Channidae,Parachanna,insignis,/species/detail.html?genus=Parachanna&species=insignis
Anabantiformes,Osphronemidae,Betta,mahachaiensis,/species/detail.html?genus=Betta&species=mahachaiensis
