genus,species,order,family,accession
Gymnura,altavela,Myliobatiformes,Gymnuridae,OK104094
Gymnothorax,fimbriatus,Anguilliformes,Muraenidae,MZ297479
Gymnothorax,undulatus,Anguilliformes,Muraenidae,MZ329992
Saurida,nebulosa,Aulopiformes,Synodontidae,MZ329994
Tylosurus,crocodilus,Beloniformes,Belonidae,MZ329993
Myripristis,vittata,Beryciformes,Holocentridae,MZ329989
Neoniphon,sammara,Beryciformes,Holocentridae,MZ329995
Brosme,brosme,Gadiformes,Lotidae,MZ329990
Scomberoides,lysan,Perciformes,Carangidae,MZ329991
Forcipiger,flavissimus,Perciformes,Chaetodontidae,MZ329988
Ostracion,whitleyi,Tetraodontiformes,Ostraciidae,MZ297480
Canthigaster,amboinensis,Tetraodontiformes,Tetraodontidae,MZ188982
